,,,,,
ADAM32,5939,5673,5739,5750,5776
SERPINB4,7495,7044,7312,7430,7297
SOX9,5280,4932,5156,5134,5244
INPP5B,659,617,627,598,650
Sall4,5540,5446,5371,5208,5284
Nanog,1582,1488,1542,1523,1554
KLRK1,172,157,159,155,170
DDR1,959,884,905,887,943
DPF3,1231,1172,1119,1165,1174
GPR19,9906,8955,9493,9803,9390
SPATA17,2502,2451,2471,2488,2406
MSANTD3,6913,6825,6862,6692,6369
CCL5,6674,6430,6046,6512,6154
Esrrb,17,16,15,16,16
PCDHB14,427,417,423,386,404
MYF6,5676,5390,5240,5305,5600
PAX8,6728,6192,6375,6550,6636
KRT78,9850,8925,9748,8942,9043
Utf1,853,823,777,834,774
PXK,4713,4691,4595,4262,4376
PTPN21,5199,4961,4828,5041,5155
THRA,5465,4990,5253,4956,5018
ATP6V1E2,4107,3922,4030,3707,3701
DSTYK,6492,6461,6050,6430,6252
CYP2E1,100,90,86,82,80
HCRTR1,8586,8285,8214,8152,8250
MAPK1,6904,6668,6443,6551,6833
HSPA6,8007,7535,7795,7649,7222
SLC39A5,5111,4767,4620,4826,4942
KCNJ2,7283,7112,6632,6580,6938
Zfp42,8352,7589,8189,7616,8297
C17ORF63,87,80,75,64,84
CD28,2218,1999,2189,2057,2193
TILL12,5659,5290,5290,5151,5504
VPS18,4816,4432,4550,4680,4344
PPP2R5C,5739,5284,5470,5566,5495
NME4,8005,7700,7547,7609,7439
LSM2,664,618,601,639,604
UBA7,9937,9001,9088,9689,9148
PRR22,6311,6165,5833,5721,6078
TIMD4,7945,7483,7565,7759,7718
Ezh2,37897,35266,36722,34198,34470
SKIV2L,1667,1540,5326,5193,5235
MAT2B,8997,8814,8236,8951,8219
TMEM192,143,142,0,0,0
SCARB1,3778,3744,3691,3720,3688
RFC2,8280,7458,8273,7677,7764
SLC25A45,5122,5108,5161,5570,5158
AL929472,6531,6499,6420,6250,5957
ZNF408,4883,4699,4423,4845,4607
Dppa2,0,0,0,0,0
